"RENTAL_ZONE_HAL_ID";"RENTAL_ZONE_HAL_SRC";"NAME";"TYPE";"CITY";"COUNTRY";"POI_AIRPORT_X";"POI_LONG_DISTANCE_TRAINS_X";"POI_SUBURBAN_TRAINS_X";"POI_UNDERGROUND_X";"CLASSIFICATION";"RENTAL_ZONE_GROUP";"CODE";"COMPANY";"COMPANY_GROUP";"FRANCHISE";"ACTIVE_X";"RENTAL_ZONE_GROUP_X";"RENTAL_ZONE_X_COORDINATE";"RENTAL_ZONE_Y_COORDINATE"
400549;"Station";"Wissenschaftszentrum Berlin";"stationbased";"Berlin";"DE";0;0;0;0;"Carsharing";"";"WZB";"Flinkster (Endkd.)";"DB Fuhrpark";"";0;"N";"13,364262655377388";"52,506601121579790"
402680;"Station";"Wörther Straße";"stationbased";"Berlin";"DE";0;0;0;0;"Carsharing";"";"WÖR";"Flinkster (Endkd.)";"DB Fuhrpark";"";1;"N";"13,421567380428314";"52,535775437879910"
402093;"Station";"Zahn-Notter-Strasse";"stationbased";"Stuttgart";"DE";0;0;0;0;"Carsharing";"";"ZAHN";"Flinkster (Endkd.)";"DB Fuhrpark";"";0;"N";"9,162163138389587";"48,832488840721396"
403231;"Station";"Rathaus Zepernick";"stationbased";"Panketal";"DE";0;0;1;0;"Carsharing";"";"ZEP";"Flinkster (Endkd.)";"DB Fuhrpark";"";0;"N";"13,532826748558023";"52,659993306801350"
403013;"Station";"Zillestraße";"stationbased";"Berlin";"DE";0;0;0;0;"Carsharing";"";"ZILLE";"Flinkster (Endkd.)";"DB Fuhrpark";"";1;"N";"13,311787247657776";"52,513586377208135"
401970;"Station";"Zahn-Nopper-Straße";"stationbased";"Stuttgart";"DE";0;0;0;0;"Carsharing";"";"ZNS";"Flinkster (Endkd.)";"DB Fuhrpark";"";1;"N";"9,162173867225647";"48,832495903113575"
403198;"Station";"ZOB Kleiner Markt-ELEKTRO";"stationbased";"Saarlouis";"DE";0;0;0;0;"Carsharing";"";"ZOB-Elektro";"Flinkster (Endkd.)";"DB Fuhrpark";"";1;"N";"6,753995626983624";"49,313659079651190"
404841;"Station";"Zentraler Ominbusbahnhof ELEKTRO";"stationbased";"Wadern";"DE";0;0;0;0;"Carsharing";"";"ZOB-Elektro";"Flinkster (Endkd.)";"DB Fuhrpark";"";0;"N";"6,892512000000000";"49,538647000000000"
1110;"Station";"Bhf. Zoologischer Garten";"stationbased";"Berlin";"DE";0;0;1;1;"Carsharing";"";"ZOO";"Flinkster (Endkd.)";"DB Fuhrpark";"";1;"N";"13,333154395222663";"52,507704731952850"
400859;"Station";"Zülpicher Straße (DB Mobility Center)";"stationbased";"Köln";"DE";0;0;0;0;"Carsharing";"";"ZUE";"Flinkster (Endkd.)";"DB Fuhrpark";"";1;"N";"6,922047000000000";"50,922543000000000"
401730;"Station";"Parkhaus Züblin";"stationbased";"Stuttgart";"DE";0;0;0;0;"Carsharing";"";"ZUE";"Flinkster (Endkd.)";"DB Fuhrpark";"";0;"N";"9,181289970874786";"48,772781380784710"
401801;"Station";"Zülpicher Wall 12";"stationbased";"Köln";"DE";0;0;0;0;"Carsharing";"";"ZUW12";"Flinkster (Endkd.)";"DB Fuhrpark";"";1;"N";"6,934760212898254";"50,928367899998270"
402520;"Station";"Zülpicher Wall 50";"stationbased";"Köln";"DE";0;0;0;0;"Carsharing";"";"ZUW50";"Flinkster (Endkd.)";"DB Fuhrpark";"";0;"N";"6,933231353759766";"50,929547905362780"
402089;"Station";"Severinswall";"stationbased";"Köln";"DE";0;0;0;0;"Carsharing";"";"SEV";"Flinkster (Endkd.)";"DB Fuhrpark";"";1;"N";;
